SortChem,Site,Date,Time_hr_(DST),Depth_m,Bac_prod_ug_C_L_day
2008-0020,Toolik Inlet Bay,26-May-08,11:00,5,2.91
2008-0021,Toolik,26-May-08,11:45,5,2.26
2008-0022,Toolik Southwest Basin,26-May-08,12:19,5,2.29
2008-0023,Toolik Moraine,26-May-08,12:45,5,2.39
2008-0024,Toolik Central,26-May-08,13:04,5,2.20
2008-0027,Toolik Inlet,26-May-08,20:23,5,13.13
2008-0533,Toolik Inlet Bay,05-Jun-08,09:17,5,2.53
2008-0531,Toolik,05-Jun-08,09:51,5,2.10
2008-0534,Toolik Southwest Basin,05-Jun-08,10:25,5,2.64
2008-0536,Toolik Moraine,05-Jun-08,10:44,5,1.92
2008-0539,Toolik Central,05-Jun-08,11:13,5,2.82
2008-0545,Toolik Inlet,05-Jun-08,13:47,5,5.35
2008-0136,I7 into I9,20-Jun-08,16:19,0.01,5.78
2008-0137,I8 into I9,20-Jun-08,16:40,0.01,5.14
2008-0134,I8 Inlet,20-Jun-08,14:20,0.01,5.24
2008-0135,I8 Outlet,20-Jun-08,13:15,0.01,6.06
2008-0139,Milkyway Lower,20-Jun-08,18:06,0.01,6.44
2008-0140,Toolik Inlet,20-Jun-08,20:20,0.01,7.06
2008-5064,Shrew River,22-Jun-08,12:29,0.01,7.07
2008-0155,I1 into I3,24-Jun-08,09:04,0.01,9.30
2008-2003,I2,24-Jun-08,10:05,1,7.56
2008-0152,I8 Headwaters,24-Jun-08,09:27,0.01,6.22
2008-0156,I2 into I3,24-Jun-08,11:24,0.01,5.74
2008-2000,I1,24-Jun-08,11:36,1,5.63
2008-2006,I3,24-Jun-08,12:32,1,4.85
2008-2008,I4,24-Jun-08,14:00,1,1.97
2008-2017,I6 HW,24-Jun-08,15:45,1,27.73
2008-0161,I6 Headwater Lake Inlet,24-Jun-08,15:54,0.01,7.06
2008-0159,I4 into I5,24-Jun-08,16:44,0.01,47.84
2008-2011,I5,24-Jun-08,18:18,1,5.43
2008-0164,I6 Inlet West,25-Jun-08,08:56,0.01,9.44
2008-0163,I5 into I6,25-Jun-08,09:27,0.01,5.94
2008-2014,I6,25-Jun-08,10:38,1,10.40
2008-2020,I7,25-Jun-08,11:19,1,2.57
2008-0167,I8 Inlet,25-Jun-08,12:39,0.01,4.64
2008-2023,I8,25-Jun-08,12:50,1,39.86
2008-0169,Swamp Inlet,25-Jun-08,13:39,0.01,2.58
2008-2026,I-Swamp,25-Jun-08,13:54,1,1.61
2008-0168,I8 Outlet,25-Jun-08,15:20,0.01,1.24
2008-0172,I8 into I9,25-Jun-08,15:38,0.01,4.48
2008-0171,I7 into I9,25-Jun-08,15:38,0.01,2.00
2008-0173,Milkyway Lower,25-Jun-08,16:54,0.01,8.67
2008-0175,Toolik Inlet,25-Jun-08,17:24,0.01,8.50
2008-0177,Toolik,27-Jun-08,11:11,1,4.76
2008-0178,Toolik,27-Jun-08,11:33,3,1.65
2008-0179,Toolik,27-Jun-08,11:42,5,6.03
2008-0180,Toolik,27-Jun-08,11:53,8,5.44
2008-0181,Toolik,27-Jun-08,12:12,12,1.08
2008-0182,Toolik,27-Jun-08,12:29,16,1.66
2008-0511,Toolik,30-Jun-08,11:07,3,2.16
2008-0512,Toolik,30-Jun-08,11:07,16,4.92
2008-0513,Toolik Inlet Bay,30-Jun-08,10:26,3,1.52
2008-0514,Toolik Inlet Bay,30-Jun-08,10:26,5,8.65
2008-0515,Toolik Southwest Basin,30-Jun-08,14:44,3,3.58
2008-0516,Toolik Southwest Basin,30-Jun-08,14:44,16,6.11
2008-0517,Toolik Moraine,30-Jun-08,15:08,3,12.73
2008-0518,Toolik Moraine,30-Jun-08,15:08,8,4.34
2008-0519,Toolik Central,30-Jun-08,17:00,3,6.87
2008-0520,Toolik Central,30-Jun-08,17:00,6,1.96
2008-0521,Toolik Limno Bay,30-Jun-08,15:32,3,2.88
2008-0522,Toolik Limno Bay,30-Jun-08,15:32,12,2.84
2008-0523,Toolik Dock,30-Jun-08,16:28,3,4.01
2008-0524,Toolik Dock,30-Jun-08,16:28,6,2.38
2008-0525,Toolik Outlet Bay,30-Jun-08,16:14,3,2.28
2008-0526,Toolik Inlet,30-Jun-08,12:05,0.01,3.55
2008-0527,Toolik Camp Shoal,30-Jun-08,09:55,0.5,3.17
2008-0528,Toolik Sauna Shoal,30-Jun-08,10:56,0.5,3.53
2008-0529,Toolik Rock Shoal,30-Jun-08,16:46,0.5,2.44
2008-0215,I7-I9,04-Jul-08,09:37,0.01,2.63
2008-0216,I8-I9,04-Jul-08,09:37,0.01,2.71
2008-0218,Milkyway Lower,04-Jul-08,10:47,0.01,4.19
2008-0219,Toolik Inlet,04-Jul-08,11:33,0.01,1.36
2008-0222,Toolik,04-Jul-08,09:45,1,4.63
2008-0223,Toolik,04-Jul-08,10:16,3,2.14
2008-0224,Toolik,04-Jul-08,10:25,5,5.11
2008-0225,Toolik,04-Jul-08,10:36,8,4.01
2008-0226,Toolik,04-Jul-08,10:44,12,4.61
2008-0227,Toolik,04-Jul-08,10:50,16,2.85
.,Toolik Camp Shoal,05-Jul-08,14:23,0.5,3.90
.,Toolik Inlet Bay,05-Jul-08,14:27,0.5,5.07
.,Toolik Sauna Shoal,05-Jul-08,14:30,0.5,3.17
.,Toolik,05-Jul-08,14:41,0.5,2.08
.,Toolik Southwest Basin,05-Jul-08,14:46,0.5,1.97
.,Toolik Moraine,05-Jul-08,14:49,0.5,4.88
.,Toolik Limno Bay,05-Jul-08,14:52,0.5,3.01
.,Toolik Central,05-Jul-08,14:57,0.5,5.47
.,Toolik Rock Shoal,05-Jul-08,15:01,0.5,2.14
.,Toolik Dock,05-Jul-08,15:04,0.5,3.46
.,Toolik Outlet Bay,05-Jul-08,15:07,0.5,7.49
2008-0265,I7-I9,11-Jul-08,09:29,0.01,7.11
2008-0266,I8-I9,11-Jul-08,10:00,0.01,5.71
2008-0268,Milkyway Lower,11-Jul-08,10:46,0.01,2.67
2008-0269,Toolik Inlet,11-Jul-08,11:30,0.01,3.74
2008-0272,Toolik,11-Jul-08,10:37,1,3.11
2008-0273,Toolik,11-Jul-08,10:57,3,10.80
2008-0274,Toolik,11-Jul-08,11:11,5,4.68
2008-0275,Toolik,11-Jul-08,11:18,8,5.29
2008-0276,Toolik,11-Jul-08,11:27,12,1.97
2008-0277,Toolik,11-Jul-08,11:35,16,7.76
2008-0284,I2 into I3,14-Jul-08,09:44,0.01,9.25
2008-0283,I1 into I3,14-Jul-08,09:46,0.01,6.86
2008-0280,I8 Headwaters,14-Jul-08,08:30,0.01,7.89
2008-2052,I2,14-Jul-08,09:05,1,7.80
2008-2055,I3,14-Jul-08,10:37,1,7.16
2008-2049,I1,14-Jul-08,11:45,1,5.91
2008-0287,I4 into I5,14-Jul-08,13:45,0.01,6.41
2008-2057,I4,14-Jul-08,13:33,1,4.07
2008-0289,I6 Headwater Lake Inlet,14-Jul-08,14:00,0.01,4.56
2008-2066,I6 HW,14-Jul-08,15:15,1,1.87
2008-2060,I5,14-Jul-08,17:10,1,3.89
2008-0292,I6 Inlet West,15-Jul-08,09:00,0.01,3.69
2008-2063,I6,15-Jul-08,09:14,1,5.13
